State County FIPS,Postal Code,Name,Median Household Income,Year
"1 , 1",AL,Autauga County,44241,2003
"1 , 3",AL,Baldwin County,41961,2003
"1 , 5",AL,Barbour County,26062,2003
"1 , 7",AL,Bibb County,32924,2003
"1 , 9",AL,Blount County,37758,2003
"1 , 11",AL,Bullock County,20903,2003
"1 , 13",AL,Butler County,26951,2003
"1 , 15",AL,Calhoun County,33137,2003
"1 , 17",AL,Chambers County,30844,2003
"1 , 19",AL,Cherokee County,32158,2003
"1 , 21",AL,Chilton County,34201,2003
"1 , 23",AL,Choctaw County,26829,2003
"1 , 25",AL,Clarke County,28644,2003
"1 , 27",AL,Clay County,29456,2003
"1 , 29",AL,Cleburne County,32834,2003
"1 , 31",AL,Coffee County,35739,2003
"1 , 33",AL,Colbert County,33550,2003
"1 , 35",AL,Conecuh County,23726,2003
"1 , 37",AL,Coosa County,29801,2003
"1 , 39",AL,Covington County,28670,2003
"1 , 41",AL,Crenshaw County,28358,2003
"1 , 43",AL,Cullman County,34056,2003
"1 , 45",AL,Dale County,32774,2003
"1 , 47",AL,Dallas County,24456,2003
"1 , 49",AL,DeKalb County,31310,2003
"1 , 51",AL,Elmore County,42687,2003
"1 , 53",AL,Escambia County,28608,2003
"1 , 55",AL,Etowah County,31512,2003
"1 , 57",AL,Fayette County,30216,2003
"1 , 59",AL,Franklin County,28277,2003
"1 , 61",AL,Geneva County,28040,2003
"1 , 63",AL,Greene County,21963,2003
"1 , 65",AL,Hale County,26138,2003
"1 , 67",AL,Henry County,31504,2003
"1 , 69",AL,Houston County,35866,2003
"1 , 71",AL,Jackson County,33128,2003
"1 , 73",AL,Jefferson County,38305,2003
"1 , 75",AL,Lamar County,28913,2003
"1 , 77",AL,Lauderdale County,34422,2003
"1 , 79",AL,Lawrence County,34195,2003
"1 , 81",AL,Lee County,33550,2003
"1 , 83",AL,Limestone County,40901,2003
"1 , 85",AL,Lowndes County,24090,2003
"1 , 87",AL,Macon County,22594,2003
"1 , 89",AL,Madison County,48719,2003
"1 , 91",AL,Marengo County,28815,2003
"1 , 93",AL,Marion County,27227,2003
"1 , 95",AL,Marshall County,33756,2003
"1 , 97",AL,Mobile County,32850,2003
"1 , 99",AL,Monroe County,29027,2003
"1 , 101",AL,Montgomery County,35592,2003
"1 , 103",AL,Morgan County,39965,2003
"1 , 105",AL,Perry County,20630,2003
"1 , 107",AL,Pickens County,26895,2003
"1 , 109",AL,Pike County,26615,2003
"1 , 111",AL,Randolph County,29435,2003
"1 , 113",AL,Russell County,28547,2003
"1 , 115",AL,St. Clair County,38713,2003
"1 , 117",AL,Shelby County,60894,2003
"1 , 119",AL,Sumter County,20627,2003
"1 , 121",AL,Talladega County,33191,2003
"1 , 123",AL,Tallapoosa County,30626,2003
"1 , 125",AL,Tuscaloosa County,35268,2003
"1 , 127",AL,Walker County,31298,2003
"1 , 129",AL,Washington County,31198,2003
"1 , 131",AL,Wilcox County,19633,2003
"1 , 133",AL,Winston County,27430,2003
"1 , 1",AL,Autauga County,44241,2004
"1 , 3",AL,Baldwin County,41961,2004
"1 , 5",AL,Barbour County,26062,2004
"1 , 7",AL,Bibb County,32924,2004
"1 , 9",AL,Blount County,37758,2004
"1 , 11",AL,Bullock County,20903,2004
"1 , 13",AL,Butler County,26951,2004
"1 , 15",AL,Calhoun County,33137,2004
"1 , 17",AL,Chambers County,30844,2004
"1 , 19",AL,Cherokee County,32158,2004
"1 , 21",AL,Chilton County,34201,2004
"1 , 23",AL,Choctaw County,26829,2004
"1 , 25",AL,Clarke County,28644,2004
"1 , 27",AL,Clay County,29456,2004
"1 , 29",AL,Cleburne County,32834,2004
"1 , 31",AL,Coffee County,35739,2004
"1 , 33",AL,Colbert County,33550,2004
"1 , 35",AL,Conecuh County,23726,2004
"1 , 37",AL,Coosa County,29801,2004
"1 , 39",AL,Covington County,28670,2004
"1 , 41",AL,Crenshaw County,28358,2004
"1 , 43",AL,Cullman County,34056,2004
"1 , 45",AL,Dale County,32774,2004
"1 , 47",AL,Dallas County,24456,2004
"1 , 49",AL,DeKalb County,31310,2004
"1 , 51",AL,Elmore County,42687,2004
"1 , 53",AL,Escambia County,28608,2004
"1 , 55",AL,Etowah County,31512,2004
"1 , 57",AL,Fayette County,30216,2004
"1 , 59",AL,Franklin County,28277,2004
"1 , 61",AL,Geneva County,28040,2004
"1 , 63",AL,Greene County,21963,2004
"1 , 65",AL,Hale County,26138,2004
"1 , 67",AL,Henry County,31504,2004
"1 , 69",AL,Houston County,35866,2004
"1 , 71",AL,Jackson County,33128,2004
"1 , 73",AL,Jefferson County,38305,2004
"1 , 75",AL,Lamar County,28913,2004
"1 , 77",AL,Lauderdale County,34422,2004
"1 , 79",AL,Lawrence County,34195,2004
"1 , 81",AL,Lee County,33550,2004
"1 , 83",AL,Limestone County,40901,2004
"1 , 85",AL,Lowndes County,24090,2004
"1 , 87",AL,Macon County,22594,2004
"1 , 89",AL,Madison County,48719,2004
"1 , 91",AL,Marengo County,28815,2004
"1 , 93",AL,Marion County,27227,2004
"1 , 95",AL,Marshall County,33756,2004
"1 , 97",AL,Mobile County,32850,2004
"1 , 99",AL,Monroe County,29027,2004
"1 , 101",AL,Montgomery County,35592,2004
"1 , 103",AL,Morgan County,39965,2004
"1 , 105",AL,Perry County,20630,2004
"1 , 107",AL,Pickens County,26895,2004
"1 , 109",AL,Pike County,26615,2004
"1 , 111",AL,Randolph County,29435,2004
"1 , 113",AL,Russell County,28547,2004
"1 , 115",AL,St. Clair County,38713,2004
"1 , 117",AL,Shelby County,60894,2004
"1 , 119",AL,Sumter County,20627,2004
"1 , 121",AL,Talladega County,33191,2004
"1 , 123",AL,Tallapoosa County,30626,2004
"1 , 125",AL,Tuscaloosa County,35268,2004
"1 , 127",AL,Walker County,31298,2004
"1 , 129",AL,Washington County,31198,2004
"1 , 131",AL,Wilcox County,19633,2004
"1 , 133",AL,Winston County,27430,2004
