disasterNumber,county,declarationDate,incidentType,amountOblig
1348,Hawaii,2000-11-09T00:00:00.000Z,Severe Storm(s),177334.19
1348,Statewide,2000-11-09T00:00:00.000Z,Severe Storm(s),0.0
1348,Statewide,2000-11-09T00:00:00.000Z,Severe Storm(s),44601.75
1348,Hawaii,2000-11-09T00:00:00.000Z,Severe Storm(s),24639.75
1348,Statewide,2000-11-09T00:00:00.000Z,Severe Storm(s),393181.53
1348,Hawaii,2000-11-09T00:00:00.000Z,Severe Storm(s),147605.51
1348,Hawaii,2000-11-09T00:00:00.000Z,Severe Storm(s),407715.79
1348,Statewide,2000-11-09T00:00:00.000Z,Severe Storm(s),26260.49
1348,Hawaii,2000-11-09T00:00:00.000Z,Severe Storm(s),69015.83
1348,Hawaii,2000-11-09T00:00:00.000Z,Severe Storm(s),13969.1
1348,Statewide,2000-11-09T00:00:00.000Z,Severe Storm(s),0.0
1348,Statewide,2000-11-09T00:00:00.000Z,Severe Storm(s),0.0
1348,Statewide,2000-11-09T00:00:00.000Z,Severe Storm(s),0.0
1348,Hawaii,2000-11-09T00:00:00.000Z,Severe Storm(s),2646377.6
1348,Hawaii,2000-11-09T00:00:00.000Z,Severe Storm(s),7707.89
1348,Hawaii,2000-11-09T00:00:00.000Z,Severe Storm(s),58415.78
1348,Statewide,2000-11-09T00:00:00.000Z,Severe Storm(s),0.0
1575,Statewide,2005-02-01T00:00:00.000Z,Severe Storm(s),19839.49
1575,Statewide,2005-02-01T00:00:00.000Z,Severe Storm(s),692619.65
1575,Honolulu,2005-02-01T00:00:00.000Z,Severe Storm(s),583065.19
1575,Statewide,2005-02-01T00:00:00.000Z,Severe Storm(s),32785.11
1575,Honolulu,2005-02-01T00:00:00.000Z,Severe Storm(s),105074.52
1575,Honolulu,2005-02-01T00:00:00.000Z,Severe Storm(s),2539.37
1575,Statewide,2005-02-01T00:00:00.000Z,Severe Storm(s),82810.27
1575,Statewide,2005-02-01T00:00:00.000Z,Severe Storm(s),16713086.74
1575,Statewide,2005-02-01T00:00:00.000Z,Severe Storm(s),55671.37
1640,Kauai,2006-05-02T00:00:00.000Z,Severe Storm(s),22439.74
1640,Kauai,2006-05-02T00:00:00.000Z,Severe Storm(s),44964.9
1640,Honolulu,2006-05-02T00:00:00.000Z,Severe Storm(s),3172801.34
1640,Honolulu,2006-05-02T00:00:00.000Z,Severe Storm(s),13843.49
1640,Statewide,2006-05-02T00:00:00.000Z,Severe Storm(s),927425.06
1640,Kauai,2006-05-02T00:00:00.000Z,Severe Storm(s),0.0
1640,Kauai,2006-05-02T00:00:00.000Z,Severe Storm(s),123920.31
1640,Honolulu,2006-05-02T00:00:00.000Z,Severe Storm(s),363727.17
1640,Honolulu,2006-05-02T00:00:00.000Z,Severe Storm(s),26396.2
1640,Honolulu,2006-05-02T00:00:00.000Z,Severe Storm(s),21335.56
1640,Kauai,2006-05-02T00:00:00.000Z,Severe Storm(s),0.0
1640,Honolulu,2006-05-02T00:00:00.000Z,Severe Storm(s),13064.41
1640,Kauai,2006-05-02T00:00:00.000Z,Severe Storm(s),736258.34
1640,Kauai,2006-05-02T00:00:00.000Z,Severe Storm(s),105908.65
1640,Statewide,2006-05-02T00:00:00.000Z,Severe Storm(s),171468.63
1640,Kauai,2006-05-02T00:00:00.000Z,Severe Storm(s),60362.03
1640,Statewide,2006-05-02T00:00:00.000Z,Severe Storm(s),379112.23
1640,Honolulu,2006-05-02T00:00:00.000Z,Severe Storm(s),15160.41
1640,Statewide,2006-05-02T00:00:00.000Z,Severe Storm(s),1665184.97
1640,Statewide,2006-05-02T00:00:00.000Z,Severe Storm(s),2361.32
1640,Statewide,2006-05-02T00:00:00.000Z,Severe Storm(s),0.0
1640,Statewide,2006-05-02T00:00:00.000Z,Severe Storm(s),0.0
1664,Maui,2006-10-17T00:00:00.000Z,Earthquake,2096253.8
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,14932.51
1664,Honolulu,2006-10-17T00:00:00.000Z,Earthquake,0.0
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,2847995.58
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,43686.08
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,325317.56
1664,Maui,2006-10-17T00:00:00.000Z,Earthquake,25380.62
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,0.0
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,89568.98
1664,Maui,2006-10-17T00:00:00.000Z,Earthquake,0.0
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,190249.5
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,869683.9
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,1293068.28
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,970571.09
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,124243.93
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,2356.52
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,8454.52
1664,Kauai,2006-10-17T00:00:00.000Z,Earthquake,860.73
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,0.0
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,345565.63
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,1726095.68
1664,Maui,2006-10-17T00:00:00.000Z,Earthquake,8041.27
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,0.0
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,0.0
1664,Honolulu,2006-10-17T00:00:00.000Z,Earthquake,157557.96
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,199513.5
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,1392893.35
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,84426.13
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,116570.02
1664,Honolulu,2006-10-17T00:00:00.000Z,Earthquake,27549.22
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,0.0
1664,Maui,2006-10-17T00:00:00.000Z,Earthquake,6728.66
1664,Maui,2006-10-17T00:00:00.000Z,Earthquake,16593.07
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,80542.18
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,53219.5
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,20128.91
1664,Honolulu,2006-10-17T00:00:00.000Z,Earthquake,4838.6
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,4737851.17
1664,Hawaii,2006-10-17T00:00:00.000Z,Earthquake,382137.54
1664,Statewide,2006-10-17T00:00:00.000Z,Earthquake,3030.0
1743,Statewide,2008-02-06T00:00:00.000Z,Severe Storm(s),160272.53
1743,Kauai,2008-02-06T00:00:00.000Z,Severe Storm(s),4899.1
1743,Hawaii,2008-02-06T00:00:00.000Z,Severe Storm(s),3275.12
1743,Maui,2008-02-06T00:00:00.000Z,Severe Storm(s),29351.43
1743,Hawaii,2008-02-06T00:00:00.000Z,Severe Storm(s),4261.3
1743,Maui,2008-02-06T00:00:00.000Z,Severe Storm(s),2117.88
1743,Statewide,2008-02-06T00:00:00.000Z,Severe Storm(s),53116.5
1743,Maui,2008-02-06T00:00:00.000Z,Severe Storm(s),146115.29
1743,Maui,2008-02-06T00:00:00.000Z,Severe Storm(s),5847.91
1743,Maui,2008-02-06T00:00:00.000Z,Severe Storm(s),99193.2
1743,Statewide,2008-02-06T00:00:00.000Z,Severe Storm(s),657977.03
1743,Statewide,2008-02-06T00:00:00.000Z,Severe Storm(s),388832.24
1743,Maui,2008-02-06T00:00:00.000Z,Severe Storm(s),295171.87
1743,Hawaii,2008-02-06T00:00:00.000Z,Severe Storm(s),1671.88
1743,Kauai,2008-02-06T00:00:00.000Z,Severe Storm(s),1253.83
1743,Statewide,2008-02-06T00:00:00.000Z,Severe Storm(s),66453.29
